Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,2 - High,APPS-16321,22595773,[BNPPFRB-1224] [COPARTIS-178] AML Parameter Optimization - charts not working when no data returned by queries,aleksandra.skowron,aleksandra.skowron,Assigned,COMPL 9.0,,,,,,,,,APPS 4.8,COMPL 8.3,COMPL 8.4,,,,,,,,,AML Optimisation,,,,,,,,,,,,,,,7.6.0.4 8.3.0.3,29/Apr/2022 09:09 AM,
Defect,3 - Medium,APPS-16320,22595766,[APPSDEV-11236][RHB-550] - Encounter system error when trying to search Cases in All case screen,,minghui.tung,Closed,COMPL 9.0,,,,,,,,,APPS 4.8,,,,,,,,,,,EIM Framework,Investigator - Cases,,,,,,,,,,,,,,7.6.0.21,29/Apr/2022 08:13 AM,Fixed
Defect,3 - Medium,APPS-16319,22595601,Chart on Dashboard show incorrect labels when hovered over the particular point on the line chart.,agnieszka.szymanska,agnieszka.szymanska,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,Investigator - Alerts,Investigator - Cases,,,,,,,,,,,,,,7.7.0.16,27/Apr/2022 11:56 AM,Project Config Issue
Defect,3 - Medium,APPS-16318,22595598,Cases Dashboard : Graph View displays Case Creation Date as 1 date prior to Case Creation Date present in the List view,agnieszka.szymanska,agnieszka.szymanska,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,Investigator - Cases,,,,,,,,,,,,,,,7.7.0.16,27/Apr/2022 11:26 AM,Project Config Issue
Defect,3 - Medium,APPS-16317,22595551,[IAGN] 8.3 - WLM-70046 - No values for column SUBJECT_SOURCE,MDonder,meldeuna,New,,,,,,,,,,EIM_FRA 8.3,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.3,27/Apr/2022 09:29 AM,
Defect,3 - Medium,APPS-16316,22595549,[BNPPFRB-1217] Crossfilter dimension cap at 32,MMendyk,MMendyk,Rejected,,,,,,,,,,APPS 4.8,,,,,,,,,,,AML Optimisation,,,,,,,,,,,,,,,.,27/Apr/2022 09:27 AM,Core Product Issue
Defect,2 - High,APPS-16315,22595246,[APPSDEV-11184]In SMBD CB Alerts TM control is  observed when we triggered detection on full file,priyankatulshiram.tikle,priyankatulshiram.tikle,Resolved,COMPL 9.0,,,,,,,,,COMPL 8.4,,,,,,,,,,,AML Correspondent Banking Detection,,,,,,,,,,,,,,, 8.4.0.5,26/Apr/2022 10:25 AM,Fixed
Defect,3 - Medium,APPS-16311,22594731,DPA java error appears on scheduled job,zbyszko.nowak,zbyszko.nowak,Rejected,,,,,,,,,,COMPL 8.4.1,,,,,,,,,,,Data Privacy Agent,,,,,,,,,,,,,,, 8.4.1,19/Apr/2022 03:42 PM,Duplicate
Defect,3 - Medium,APPS-16310,22594707,DPA (Data Privacy Agent) is throwing error related to MINOR_GROUPS when running in scheduled mode,,kslawinski,Rejected,,,,,,,,,,COMPL 8.4,,,,,,,,,,,Data Privacy Agent,,,,,,,,,,,,,,,NR 8.4.1,19/Apr/2022 12:50 PM,Environmental Issue
Defect,3 - Medium,APPS-16309,22593808,[APPSDEV-11122]Fix SQL patch script for APPSDEV-10076,KYadav,IKhalili,New,,,,,,,,,,COMPL 8.3,,,,,,,,,,,Database ,,,,,,,,,,,,,,,8.3.0.3,11/Apr/2022 09:44 AM,
Defect,3 - Medium,APPS-16308,22593745,[APPSDEV-11121] AML TM&CB -Audit logs has no records for alert creation,JLalor,amar.nathganti,Assigned,,,,,,,,,,COMPL 8.4,,,,,,,,,,,AML Correspondent Banking Detection,AML Detection,,,,,,,,,,,,,,8.4.0.5,08/Apr/2022 11:57 AM,
Defect,3 - Medium,APPS-16304,22593150,Interactiv/Generic List extends over their sections,michal.skitek,michal.skitek,Rejected,,,,,,,,,,APPS 4.7,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,3.5.721,31/Mar/2022 03:16 PM,Not an issue
Defect,4 - Low,APPS-16303,22593059,Documentation:  Transaction Filtering Alert Workflow Diagram Requires Update,MDonder,AForrest1,New,,,,,,,,,,EIM_FRA 8.4,,,,,,,,,,,WLM Investigation,workflows,,,,,,,,,,,,,,8.4,31/Mar/2022 02:53 AM,
Defect,4 - Low,APPS-16301,22592979,Tooltip in Chart Section is Rendered Out of Position,KYadav,asshwin.raj,New,,,,,,,,,,EIM_FRA 8.2,,,,,,,,,,,Investigator - Screens,,,,,,,,,,,,,,, 8.2.0.14,30/Mar/2022 09:42 AM,
Defect,3 - Medium,APPS-16305,22592900,"Audit log for assign action shows internal alert ID, unknown by end-users",DKnyazev,DKnyazev,Resolved,COMPL 9.0,,,,,,,,,COMPL 8.4,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.2.0.1,29/Mar/2022 01:51 PM,Fixed
Defect,3 - Medium,APPS-16299,22592665,Drag and drop functionality not working in APPS 8.1,magdalena.kryspin,magdalena.kryspin,Rejected,APPS 8.1,,,,,,,,,APPS 8.1,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,APPS 8.1,28/Mar/2022 12:39 PM,Not a bug
Defect,4 - Low,APPS-16298,22592444,[APPSDEV-11089]IFS vs SVM vs Maintenance screens mapping and char limit discrepancies,KYadav,justyna.michalkowska,New,,,,,,,,,,EIM_FRA 8.4,,,,,,,,,,,Acquisition and IFS,,,,,,,,,,,,,,,8.4.0.0,24/Mar/2022 01:55 PM,
Defect,2 - High,APPS-16297,22592169,BHFS CDD Performance issues,,JKonupek,Rejected,,,,,,,,,,COMPL 8.3,,,,,,,,,,,RTDE,,,,,,,,,,,,,,,8.3.0.3,22/Mar/2022 11:55 AM,Environmental Issue
Defect,4 - Low,APPS-16295,22591781,New 8.3 section Customer Summary > Alerts exports hidden field values,KYadav,arunachalan.jeyahari,New,,,,,,,,,,COMPL 8.3,,,,,,,,,,,CDD Investigation,,,,,,,,,,,,,,,8.3.0.3,16/Mar/2022 04:27 PM,
Defect,3 - Medium,APPS-16294,22591612,DPA 8.3 CUSTOMER_THIRD_PARTY_DATA fails during purge,HMarkowicz,HMarkowicz,Rejected,,,,,,,,,,COMPL 8.3,,,,,,,,,,,None,,,,,,,,,,,,,,,DPA 8.3,15/Mar/2022 11:25 AM,Not an issue
Defect,4 - Low,APPS-16293,22591166,[BOFA-15] - GUESS “Main Action Button” ,,hasse.chacon,Rejected,,,,,,,,,,APPS 8.1,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.1.0.49,10/Mar/2022 06:47 PM,Project Config Issue
Defect,3 - Medium,APPS-16292,22590991,DUX - Parameter lists imported via File Import are not saved in the model,MCashman,DKnyazev,New,,,,,,,,,,COMPL 8.2,,,,,,,,,,,DUX,,,,,,,,,,,,,,,8.2.0.1,08/Mar/2022 06:35 PM,
Defect,3 - Medium,APPS-16291,22590948,Match Score as numeric value,EFitzgerald,SSzarkowicz,New,,,,,,,,,,COMPL 8.2,,,,,,,,,,,Command and Control,,,,,,,,,,,,,,,8.2,08/Mar/2022 01:10 PM,
Defect,3 - Medium,APPS-16290,22590899,"[APPSDEV-7094]""E:Subjects "" tab ,""Validation Required"" must change from Yes to No  when both 'Personal' and  'Address' tabs are validated ",NPota,NPota,Resolved,APPS 3.2,APPS 4.0,APPS 4.1,APPS 4.9,COMPL 8.1.1,COMPL 8.2,COMPL 8.3,COMPL 8.4.1,COMPL 9.0,COMPL 8.1.1,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,8.1.0.46,07/Mar/2022 11:13 PM,Fixed
Defect,3 - Medium,APPS-16289,22590872, Mass Assign button not visible to AML Supervisor due to missing permission,,IGnusowska,Closed,,,,,,,,,,COMPL 8.3,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,8.3.0.4,07/Mar/2022 12:56 PM,Project Config Issue
Defect,2 - High,APPS-16287,22590338,APPS build - database_install.sh script wrong postgres.lst script order,,YGossert,Rejected,,,,,,,,,,COMPL 8.4,,,,,,,,,,,Build Delivery and Build Notes ,,,,,,,,,,,,,,,8.4.1,01/Mar/2022 03:46 PM,Not an issue
Defect,3 - Medium,APPS-16286,22590208,[BOFA-10] - AML L3 Processing and AML Supervisor unable to add notes,hasse.chacon,hasse.chacon,Resolved,COMPL 9.0,,,,,,,,,APPS 8.1,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.1.0.49,28/Feb/2022 03:47 PM,Fixed
Defect,3 - Medium,APPS-16284,22590059,[APPSDEV-10954]Turning all CDD Scenarios in a given dimension OFF causes no scoring and error in the logs ,KYadav,milena.juskowiak,New,,,,,,,,,,COMPL 8.2,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,8.2.0.15,25/Feb/2022 10:40 AM,
Defect,3 - Medium,APPS-16283,22589830,"[COOP-248] - Workflow to reopen cases for ""Reported and Closed"" status",MMonas,MMonas,Rejected,,,,,,,,,,APPS 8.1,,,,,,,,,,,Investigator - Cases,,,,,,,,,,,,,,,8.1.0.37,23/Feb/2022 04:18 PM,Not an issue
Defect,3 - Medium,APPS-16282,22589559,Event Date's convertToCurrentTimezone param discrepency between screens,JLalor,lukasz.pacan,New,,,,,,,,,,FRAUD 8.2,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,8.2.0.0,21/Feb/2022 07:54 AM,
Defect,3 - Medium,APPS-16281,22589544,[DOC] Command and Control: Document Issue: Section 5.7.12,NMFauzi,meldeuna,Resolved,COMPL 8.3,COMPL 8.4.1,COMPL 9.0,,,,,,,COMPL 8.3,,,,,,,,,,,Command and Control,,,,,,,,,,,,,,,8.3,20/Feb/2022 09:13 AM,Fixed
Defect,3 - Medium,APPS-16280,22589543,[BMO81AML-456] ‘apostrophe' is causing an error in UAT and in Production,,NPota,Closed,,,,,,,,,,APPS 8.1,,,,,,,,,,,Investigator - Disclosures Framework,,,,,,,,,,,,,,,8.1.0.46,18/Feb/2022 10:26 PM,Not an issue
Defect,2 - High,APPS-16279,22589537,CLONE - standard NR8.4 EIM.lst imports lots of unwanted users created internally,DTurowski,stephane.baudet,New,,,,,,,,,,COMPL 8.4,,,,,,,,,,,None,,,,,,,,,,,,,,,8.4.0.4,18/Feb/2022 05:15 PM,
Defect,3 - Medium,APPS-16276,22589171,[SANA-96] - SAR Report not checking all boxes,JLalor,KYalamarthi,Rejected,,,,,,,,,,APPS 4.4,,,,,,,,,,,FinCEN CTR Solution,,,,,,,,,,,,,,,7.2.1.53,15/Feb/2022 03:31 PM,Not an issue
Defect,2 - High,APPS-16275,22589147,[BMO81AML-443] - Performance of migration data load is slow (customer_identifications file),,steven.bricks,Closed,,,,,,,,,,COMPL 8.1.1,,,,,,,,,,,AML Investigation,EIM Framework,,,,,,,,,,,,,,8.1,15/Feb/2022 02:46 PM,Configuration Issue
Defect,3 - Medium,APPS-16274,22588490,[BOFA-3]- GUESS - Search Function Issue reported by SSCoE team,,hasse.chacon,Closed,,,,,,,,,,APPS 8.1,,,,,,,,,,,Investigator - Customers/Subjects,,,,,,,,,,,,,,,8.1.0.49,09/Feb/2022 02:20 PM,Cannot Reproduce
Defect,3 - Medium,APPS-16273,22588094,[COOP-249] - unable to filter alerts by scenario name,JLalor,MMonas,Rejected,,,,,,,,,,APPS 8.1,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,8.1,04/Feb/2022 04:42 PM,Duplicate
Defect,3 - Medium,APPS-16268,22587011,[APPSDEV-10692] Command and Control Reports: Wrong content of a Report Group,SSzarkowicz,SSzarkowicz,Resolved,COMPL 9.0,,,,,,,,,EIM_FRA 8.4,,,,,,,,,,,Command and Control,,,,,,,,,,,,,,,8.4,26/Jan/2022 10:58 AM,Fixed
Defect,3 - Medium,APPS-16265,22586949,Wrong algorithm used in OOTB check,rudolf.andruch,rudolf.andruch,Resolved,COMPL 9.0,,,,,,,,,COMPL 8.4,,,,,,,,,,,WLM Detection,,,,,,,,,,,,,,,8.4,25/Jan/2022 03:26 PM,Fixed
Defect,3 - Medium,APPS-16260,22586780,Alert Action Log Screen - Action Field Displays Wrong Value,MDonder,lukasz.pacan,Assigned,FRAUD 8.2,,,,,,,,,COMPL 8.2,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.2.0.0,24/Jan/2022 10:43 AM,
Defect,4 - Low,APPS-16257,22586747,WLM Screen - Outcome Comment Field Erroneously Internationalized,MDonder,lukasz.pacan,New,,,,,,,,,,COMPL 8.2,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.2.0.0,24/Jan/2022 09:05 AM,
Defect,2 - High,APPS-16256,22586616,CLONE - AML Alert getting a WLM Status,NSingh1,NSingh1,Need More Info,,,,,,,,,,APPS 5.0.1,,,,,,,,,,,AML Detection,Investigator - Alerts,Investigator - Screens,workflows,,,,,,,,,,,,8.1.0.24,21/Jan/2022 06:11 PM,
Defect,2 - High,APPS-16254,22586136,"AML: Permission: Missing menu items, links, buttons, tabs for AML Groups",meldeuna,meldeuna,Need More Info,,,,,,,,,,EIM_FRA 8.3,,,,,,,,,,,AML,EIM Framework,workflows,,,,,,,,,,,,,8.3,19/Jan/2022 11:21 AM,
Defect,3 - Medium,APPS-16252,22585572,[APPSDEV-10655] [DOC] CnC: AML Detection: Incorrect Report Title,,meldeuna,Closed,COMPL 8.3,COMPL 8.4,,,,,,,,COMPL 8.3,COMPL 8.4,,,,,,,,,,Command and Control,,,,,,,,,,,,,,,8.3,14/Jan/2022 06:33 AM,Fixed
Defect,2 - High,APPS-16247,22585076,[HAR-322] -  BSA Filing issues ,raghav.pillai,raghav.pillai,Assigned,APPS 3.2,,,,,,,,,APPS 3.2,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,6.7.2.0,10/Jan/2022 09:06 PM,
Defect,2 - High,APPS-16246,22585075,[APPSDEV-10976] AML TM scenario AML12 evaluates a threshold as if it was expressed in units,JLalor,TFortin,New,,,,,,,,,,COMPL 8.4,,,,,,,,,,,AML Detection,,,,,,,,,,,,,,,8.4.0,10/Jan/2022 07:02 PM,
Defect,2 - High,APPS-16243,22584724,[HAR-319] - User is unable to Submit a SAR due to validation screening,,raghav.pillai,Closed,,,,,,,,,,APPS 3.2,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,6.7.2.0,05/Jan/2022 02:52 PM,Fixed
Defect,2 - High,APPS-16241,22584603,[APPSDEV-10831] Preview SAR/Disclosure - Warning/Error on Narrative section Part V - Is there supposed to be warning/error in PDF?,kondareddymettupalli,kondareddymettupalli,Resolved,8.1.1.2,,,,,,,,,COMPL 8.1.1,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,8.1.1,04/Jan/2022 03:35 PM,Fixed
Defect,3 - Medium,APPS-16236,22583943,WLM SP IET - Matched country information scenario wrongly positive,TFortin,TFortin,Need More Info,,,,,,,,,,COMPL 8.4,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.4.0,20/Dec/2021 06:05 PM,
Defect,3 - Medium,APPS-16235,22583761,[PIR-295] CDD - Customers without risk level with Category Code RETAIL or CONNECTED PARTY,,JDelescluse,Closed,,,,,,,,,,APPS 5.0.1,,,,,,,,,,,CDD Investigation,CDD Scoring,,,,,,,,,,,,,,8.0.1.19,17/Dec/2021 10:51 AM,Duplicate
Defect,4 - Low,APPS-16233,22583585,NetReveal hangs upon executing a workflow action if the user does not have permissions to the next page or workflow,KYadav,alan.alfar,Rejected,,,,,,,,,,COMPL 8.3,,,,,,,,,,,AML,EIM Framework,Investigator - Alerts,workflows,,,,,,,,,,,,8.3.0.2,16/Dec/2021 06:16 AM,Project Config Issue
Defect,3 - Medium,APPS-16232,22583548,CLONE - Default Free-text search delta indexing leads to much unnecessary indexing for Accounts,CMurphy,CMurphy,Rejected,,,,,,,,,,COMPL 8.2,COMPL 8.3,COMPL 8.4,,,,,,,,,Acquisition and IFS,Free Text Search,,,,,,,,,,,,,,8.4.0.2,15/Dec/2021 03:09 PM,Not an issue
Defect,3 - Medium,APPS-16228,22582736,[COPARTIS-89] EIM- Customer Details > Transactions > Cross Filter View missing missing % for a specific level values (compared to all possible level values) on row charts,aleksandra.skowron,aleksandra.skowron,Rejected,,,,,,,,,,COMPL 8.3,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,8.3.0.3,08/Dec/2021 08:58 AM,Not an issue
Defect,3 - Medium,APPS-16227,22582724,[COPARTIS-37] AMLOPT - % in Detection Analysis/Simulation Compare charts is not re-calculated while filtering,MCashman,aleksandra.skowron,Assigned,,,,,,,,,,COMPL 8.3,,,,,,,,,,,AML Optimisation,,,,,,,,,,,,,,,8.3.0.3,08/Dec/2021 08:12 AM,
Defect,3 - Medium,APPS-16225,22582541,Risk Scenario can be added to several Risk Groups / Dimensions,KYadav,DKnyazev,New,,,,,,,,,,COMPL 8.2,,,,,,,,,,,CDD Scoring,DUX,,,,,,,,,,,,,,8.2.0.1,06/Dec/2021 05:39 PM,
Defect,3 - Medium,APPS-16223,22582058,[DOC] - Investigator UI Guide - Section 12.3.2 Account Summary pop-up,EHanley,EHanley,Resolved,COMPL 8.4.1,EIM_FRA 8.3,,,,,,,,EIM_FRA 8.3,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,8.3,02/Dec/2021 10:52 AM,Fixed
Defect,3 - Medium,APPS-16222,22581992,[APPSDEV-10452] - UBOC FCA SAR - error in adding a subject,raghav.pillai,raghav.pillai,Resolved,COMPL 8.1.1,,,,,,,,,APPS 2.3,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,6.1.2.119,01/Dec/2021 04:24 PM,Fixed
Defect,3 - Medium,APPS-16221,22581991,[APPSDEV-10465]Install Issue in v8.4 with materialized view script 30_create_cat_mviews.sql,,PMenendez,Closed,COMPL 8.4.1,COMPL 9.0,,,,,,,,COMPL 8.4,,,,,,,,,,,Database ,,,,,,,,,,,,,,,8.4.0.2,01/Dec/2021 04:19 PM,Done
Defect,3 - Medium,APPS-16219,22581830,CDD Alert Diagram - missing labels,KYadav,IRuszkiewicz,New,,,,,,,,,,EIM_FRA 8.2,,,,,,,,,,,CDD Investigation,,,,,,,,,,,,,,,8.2,30/Nov/2021 02:49 PM,
Defect,2 - High,APPS-16218,22581742,CLONE - WLM Batch Alert-Exclude on multiple matches doesn't work,kondareddymettupalli,kondareddymettupalli,Need More Info,,,,,,,,,,EIM_FRA 8.1.1,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,8.1.1,29/Nov/2021 09:37 PM,
Defect,3 - Medium,APPS-16217,22581527,Inverse data population for Initial and Final State in Audit Log for CDD Info List Changes,amalina.mohdilham,asshwin.raj,New,,,,,,,,,,EIM_FRA 8.2,,,,,,,,,,,Administration ,,,,,,,,,,,,,,, 8.2.0.14,26/Nov/2021 07:30 AM,
Defect,4 - Low,APPS-16215,22581374,[COPARTIS-66] AMLOPT  Detections per day - overlapping values in the x-axis for 2 simulations,MCashman,aleksandra.skowron,New,,,,,,,,,,COMPL 8.3,,,,,,,,,,,AML Optimisation,,,,,,,,,,,,,,,8.3.0.3,24/Nov/2021 11:35 AM,
Defect,3 - Medium,APPS-16214,22581372,[COPARTIS-79] AMLOPT Simulation Compare - Detections per Scenario - no % for a given scenario (compared to all possible scenarios values) is shown,MCashman,aleksandra.skowron,New,,,,,,,,,,COMPL 8.3,,,,,,,,,,,AML Optimisation,,,,,,,,,,,,,,,8.3.0.3,24/Nov/2021 11:13 AM,
Defect,3 - Medium,APPS-16213,22581367,[COPARTIS-64] AMLOPT Detections per day chart - inappropriate values in the x-axis,MCashman,aleksandra.skowron,New,,,,,,,,,,COMPL 8.3,,,,,,,,,,,AML Optimisation,,,,,,,,,,,,,,,8.3.0.3,24/Nov/2021 10:40 AM,
Defect,3 - Medium,APPS-16212,22581363,[COPARTIS-78] AMLOPT Detection Reports - missing % for a specific level values (compared to all possible level values) on row charts,MCashman,aleksandra.skowron,New,,,,,,,,,,COMPL 8.3,,,,,,,,,,,AML Optimisation,,,,,,,,,,,,,,,8.3.0.3,24/Nov/2021 10:02 AM,
Defect,3 - Medium,APPS-16211,22581358,[COPARTIS-77] AMLOPT Detection Reports - searching by event_date doesn't work property when it is defined as dimension,MCashman,aleksandra.skowron,New,,,,,,,,,,COMPL 8.3,,,,,,,,,,,AML Optimization,,,,,,,,,,,,,,,8.3.0.3,24/Nov/2021 09:32 AM,
Defect,3 - Medium,APPS-16209,22581242,[APPSDV-10406][WNZLV8-471] All tasks 'gone' when user deletes all tasks on the second page,KYadav,mat.bangasan,New,,,,,,,,,,APPS 8.1,,,,,,,,,,,Investigator - Tasks,,,,,,,,,,,,,,, 8.3.0.2,23/Nov/2021 06:53 AM,
Defect,3 - Medium,APPS-16207,22581081,[APPSDEV-10405]Linking CDD ODD alert that is under investigation to a case,KYadav,SSzarkowicz,New,,,,,,,,,,COMPL 8.2,,,,,,,,,,,CDD Investigation,,,,,,,,,,,,,,,8.2.,19/Nov/2021 09:32 AM,
Defect,3 - Medium,APPS-16204,22580952,"NR8.3 - Command & Control - WLM004, WLM005, WLM006, WLM106 Reports",,meldeuna,Closed,,,,,,,,,,EIM_FRA 8.3,,,,,,,,,,,Command and Control,WLM Investigation,,,,,,,,,,,,,,APPS 8.3,18/Nov/2021 08:03 AM,Project Config Issue
